University,State,City,Admission Rate (%),Average SAT,Student Size,In-State Tuition ($),Out-of-State Tuition ($),Median Earnings 10yr ($),Completion Rate (%),Median Debt ($),Nobel Prizes,March Madness 2026
University of Maryland-College Park,MD,College Park,44.8,1473,30760,11809,41186,82860,88.6,19000,0,No
Loyola Marymount University,CA,Los Angeles,45.1,1359,7094,62357,62357,78349,79.3,19500,0,No
University of Wisconsin-Madison,WI,Madison,45.2,1427,36902,11603,42103,73792,89.4,20484,3,Yes
Auburn University,AL,Auburn,45.9,1345,26816,12890,34922,65337,80.6,21000,0,No
Syracuse University,NY,Syracuse,45.9,1375,15477,65528,65528,79164,82.5,26000,0,No
California State University-Long Beach,CA,Long Beach,46.3,,35924,7350,19950,64403,69.3,14289,0,No
George Washington University,DC,Washington,47.1,1433,11182,67710,67710,90873,84.5,20449,0,No
CUNY Bernard M Baruch College,NY,New York,47.5,1280,16154,7464,15414,75971,72.1,11512,0,No
Santa Clara University,CA,Santa Clara,48.0,1426,6552,61293,61293,109183,88.2,19162,0,Yes
Stony Brook University,NY,Stony Brook,49.0,1419,18101,10931,32741,74502,76.7,18228,0,No
Purdue University-Main Campus,IN,West Lafayette,49.9,1364,44503,9992,28794,72424,83.1,19500,2,Yes
North Carolina A & T State University,NC,Greensboro,49.9,1074,12182,6813,20673,44440,56.2,27000,0,No
Baylor University,TX,Waco,51.3,1329,14785,58100,58100,65793,80.1,23000,0,No
University of West Georgia,GA,Carrollton,51.6,1032,7520,6088,17800,49587,43.1,23970,0,No
University of San Diego,CA,San Diego,52.4,,5671,59486,59486,86522,82.7,22940,0,No
University of Connecticut,CT,Storrs,52.4,1348,19835,21044,43712,73997,83.5,21500,0,Yes
University of North Florida,FL,Jacksonville,53.2,1153,13359,6389,20793,56343,68.7,15531,0,No
CUNY Hunter College,NY,New York,53.8,1280,16289,7382,15332,63163,58.8,11000,0,No
University of Puerto Rico-Rio Piedras,PR,San Juan,54.6,,8572,5354,5354,35723,51.4,5500,0,No
Florida International University,FL,Miami,54.7,1163,39508,6565,18964,60249,74.2,16500,0,No
Virginia Polytechnic Institute and State University,VA,Blacksburg,54.8,1364,30923,15948,37764,81698,86.2,21500,0,No
Georgia State University,GA,Atlanta,55.4,1076,26623,8664,24840,47384,53.4,20903,0,No
University of Michigan-Dearborn,MI,Dearborn,55.6,1115,5952,15640,32896,59649,57.3,22500,0,Yes
Marist University,NY,Poughkeepsie,56.5,1295,5182,47750,47750,77819,79.7,25000,0,No
University of Puerto Rico-Mayaguez,PR,Mayaguez,56.5,,9539,5274,5274,48992,48.0,8250,0,No
CUNY Lehman College,NY,Bronx,56.6,970,10696,7410,15360,58013,50.3,10950,0,No
CUNY John Jay College of Criminal Justice,NY,New York,57.1,1080,11590,7470,15420,56195,55.7,11000,0,No
Texas A&M University-College Station,TX,College Station,57.4,1280,59615,13154,40124,72097,83.9,17804,0,No
Embry-Riddle Aeronautical University-Worldwide,FL,Daytona Beach,57.9,1148,9139,12097,12097,84131,21.1,23666,0,No
Alabama A & M University,AL,Normal,58.0,938,6124,10024,18634,40628,26.3,31000,0,No
